レコード番号,案件管理CD(自動採番),会計CD,ブランド名,ブランド名(その他),物件名称,物件名称（カナ）,【PS】物件No,郵便番号,地図表示用 所在地,緯度_代表点,経度_代表点,確認日_代表点,緯度_入口指定,経度_入口指定,確認日_入口指定,確認方法,入口座標フラグ,入口座標の郵便番号,入口座標の都道府県,入口座標の市区町村,入口座標の町域以降,入口座標の建物名,備考,都道府県,市区町村,町域,丁,番,号,複数の番地,建物および階,補足情報（今までの経緯や駐車場の入口に関する情報等）,所在地(謄本地番),丁,番,号,複数の番地,開設日,閉鎖日,四輪(時間貸),自動二輪(時間貸),自転車(時間貸),時間貸台数,四輪(月極),自動二輪(月極),自転車(月極),月極台数
4665,P1000104,1040105,Dﾊﾟｰｷﾝｸﾞ,,小田原PS第3,オダワラピーエスダイサン,SND8500008,980-0003,宮城県仙台市宮城野区小田原１,,,,,,,,,,,,,,,宮城県,仙台市青葉区,仙台市宮城野区小田原１,,,,,,,宮城県仙台市宮城野区小田原１,,,,,2024/07/02,,6,0,0,6,24,,,24
4666,P1000105,1040106,Dﾊﾟｰｷﾝｸﾞ,,北仙台PS第2,ディパーキングキタセンダイピーエスダイニ,SND8500013,981-0916,宮城県仙台市青葉区青葉町153番4、153番5,,,,,,,,,,,,,,,宮城県,仙台市青葉区,青葉町153番4、153番5,,,,,,,宮城県仙台市青葉区青葉町153番4、153番5,,,,,2024/10/01,,10,0,0,10,0,,,0
4667,P1000106,1040107,Dﾊﾟｰｷﾝｸﾞ,,松岡町PS第1,マツオカチョウピーエスダ,SND8500015,983-0834,宮城県仙台市宮城野区松岡町２０-７,,,,,,,,,,,,,,,宮城県,仙台市宮城野区,松岡町２０-７,,,,,,,宮城県仙台市宮城野区松岡町２０-７,,,,,2024/10/25,,10,0,0,10,0,,,0
4671,P1000111,1040112,Dﾊﾟｰｷﾝｸﾞ,,春日町PS第12,カスガマチピィーエスダイジュウニ,SND8600007,980-0821,宮城県仙台市青葉区春日町５,,,,,,,,,,,,,,,宮城県,仙台市青葉区,春日町５,,,,,,,宮城県仙台市青葉区春日町５,,,,,2025/07/11,,14,0,0,14,0,,,0
4672,P1000112,1040113,Dﾊﾟｰｷﾝｸﾞ,,小田原弓ﾉ町PS第1,オダワラユミノマチピーエスダイイチ,SND8600008,9830812,宮城県仙台市宮城野区小田原弓ノ町,,,,,,,,,,,,,,,宮城県,仙台市宮城野区,小田原弓ノ町,,,,,11月6日,,宮城県仙台市宮城野区小田原弓ノ町,,,,,2025/08/08,,24,0,0,24,0,,,0
4673,P1000113,1040114,Dﾊﾟｰｷﾝｸﾞ,,榴岡PS第3,ツツジガオカピーエスダイサン,SND8600009,9830852,宮城県仙台市宮城野区榴岡5-8-22,,,,,,,,,,,,,,,宮城県,仙台市宮城野区,榴岡5-8-22,,,,,,,宮城県仙台市宮城野区榴岡5-8-22,,,,,2025/08/08,,16,0,0,16,0,,,0
4674,P1000114,1040115,Dﾊﾟｰｷﾝｸﾞ,,宮城県庁前PS第1,ミヤギケンチョウマエピーエスダイイイチ,SND8600020,980-0014,宮城県仙台市青葉区本町3-5-28,,,,,,,,,,,,,,,宮城県,仙台市青葉区,本町3-5-28,,,,,,,宮城県仙台市青葉区本町3-5-28,,,,,2025/10/06,,12,0,0,12,0,,,0
4675,P1000115,1050001,Dﾊﾟｰｷﾝｸﾞ,,秋田中通4丁目PS第1,ディパーキングアキタナカトオリピーエスダイイイチ,SND8500022,010-0001,秋田県秋田市中通４丁目１?５５,,,,,,,,,,,,,,,秋田県,秋田市,中通４丁目１?５５,,,,,,,秋田県秋田市中通４丁目１?５５,,,,,2025/02/01,,23,0,0,23,13,,,13
4676,P1000116,1070014,Dﾊﾟｰｷﾝｸﾞ,,堤下町PS第1,ツツミシタピーエスダイイチ,SND8400023,963-8878,福島県郡山市堤下町９?１１,,,,,,,,,,,,,,,福島県,郡山市,堤下町９?１１,,,,,,,福島県郡山市堤下町９?１１,,,,,2024/04/01,,8,0,0,8,8,,,8
4677,P1000117,1070015,Dﾊﾟｰｷﾝｸﾞ,,福島三河南町PS第1,フクシマミカワミナミマチピーエスダイイチ,SND8500002,960-8053,福島県福島市三河南町１６-８,,,,,,,,,,,,,,,福島県,福島市,三河南町１６-８,,,,,,,福島県福島市三河南町１６-８,,,,,2024/05/01,,20,0,0,20,0,,,0
4682,P1000122,1090007,Dﾊﾟｰｷﾝｸﾞ,,宮町PS第1【宇都宮市】,ミヤマチダイイチ,UTM7800006,320-0025,栃木県宇都宮市宮町3-17,,,,,,,,,,,,,,,栃木県,宇都宮市,宮町3-17,,,,,,,栃木県宇都宮市宮町3-17,,,,,1994/04/14,,12,0,0,12,1,,,1
4683,P1000123,1090008,Dﾊﾟｰｷﾝｸﾞ,,宮町PS第2【宇都宮市】,ミヤマチダイニ,UTM7800007,320-0025,栃木県宇都宮市宮町3-7,,,,,,,,,,,,,,,栃木県,宇都宮市,宮町3-7,,,,,,,栃木県宇都宮市宮町3-7,,,,,1994/04/14,,6,0,0,6,0,,,0
4703,P1000143,1090028,Dﾊﾟｰｷﾝｸﾞ,,宇都宮南大通りPS第2,ウツノミヤミナミオオドオリダイニ,UTM7800031,321-0963,栃木県宇都宮市南大通り1-9-2.3.4,,,,,,,,,,,,,,,栃木県,宇都宮市,南大通り1-9-2.3.4,,,,,,,栃木県宇都宮市南大通り1-9-2.3.4,,,,,2015/07/11,,4,0,0,4,0,,,0
4711,P1000151,1090037,Dﾊﾟｰｷﾝｸﾞ,,本町PS第7,ホンチョウダイナナ,UTM7800044,320-0033,栃木県宇都宮市本町9-17,,,,,,,,,,,,,,,栃木県,宇都宮市,本町9-17,,,,,,,栃木県宇都宮市本町9-17,,,,,2017/05/01,,7,0,0,7,0,,,0
4716,P1000156,1090042,Dﾊﾟｰｷﾝｸﾞ,,太城PS第5,タシロダイゴ,UTM7800053,320-0814,栃木県宇都宮市三番町3-3-38,,,,,,,,,,,,,,,栃木県,宇都宮市,三番町3-3-38,,,,,,,栃木県宇都宮市三番町3-3-38,,,,,2018/02/09,,12,0,0,12,0,,,0
4717,P1000157,1090043,Dﾊﾟｰｷﾝｸﾞ,,三番町PS第1,サンバンチョウダイニ,UTM7900002,320-0814,栃木県宇都宮市三番町1番28,,,,,,,,,,,,,,,栃木県,宇都宮市,三番町1番28,,,,,,,栃木県宇都宮市三番町1番28,,,,,2018/08/01,,14,0,0,14,0,,,0
4718,P1000158,1090044,その他,,ﾛｰｿﾝ宇都宮宿郷1丁目,ローソンウツノミヤシュクゴウ,UTM7900003,321-0945,栃木県宇都宮市宿郷１丁目18-1,,,,,,,,,,,,,,,栃木県,宇都宮市,宿郷１丁目18-1,,,,,,,栃木県宇都宮市宿郷１丁目18-1,,,,,2018/08/27,,11,0,0,11,0,,,0
4719,P1000159,1090045,Dﾊﾟｰｷﾝｸﾞ,,馬場通りPS第8,ババドオリピーエスダイハチ,UTM7900029,320-0026,栃木県宇都宮市馬場通り３丁目２-５,,,,,,,,,,,,,,,栃木県,宇都宮市,馬場通り３丁目２-５,,,,,,,栃木県宇都宮市馬場通り３丁目２-５,,,,,2019/02/14,,11,0,0,11,1,,,1
4722,P1000162,1090048,Dﾊﾟｰｷﾝｸﾞ,,宇都宮泉町PS第11,ウツノミヤイズミチョウピーエスダイジュウイチ,UTM8000041,320-0034,栃木県宇都宮市泉町1-3,,,,,,,,,,,,,,,栃木県,宇都宮市,泉町1-3,,,,,,,栃木県宇都宮市泉町1-3,,,,,2019/11/27,,24,0,0,24,0,,,0
4723,P1000163,1090049,Dﾊﾟｰｷﾝｸﾞ,,元今泉PS第6,モトイマイズミピーエスダイロク,UTM8300011,321-0954,栃木県宇都宮市元今泉1丁目23-6,,,,,,,,,,,,,,,栃木県,宇都宮市,元今泉1丁目23-6,,,,,,,栃木県宇都宮市元今泉1丁目23-6,,,,,2022/08/05,,5,0,0,5,0,,,0
4724,P1000164,1090050,Dﾊﾟｰｷﾝｸﾞ,,塙田PS第1,ハナワダピーエスダイイチ,UTM8500013,3200027,栃木県宇都宮市塙田4-1,,,,,,,,,,,,,,,栃木県,宇都宮市,塙田4-1,,,,,,,栃木県宇都宮市塙田4-1,,,,,2025/02/03,,16,0,0,16,2,,,2
4725,P1000165,1090051,Dﾊﾟｰｷﾝｸﾞ,,峰PS第2,ミネピーエスダイニ,UTM8600007,3210942,栃木県宇都宮市峰１丁目３３-１,,,,,,,,,,,,,,,栃木県,宇都宮市,峰１丁目３３-１,,,,,,,栃木県宇都宮市峰１丁目３３-１,,,,,2025/10/20,,11,0,0,11,0,,,0
4729,P1000169,1100011,Dﾊﾟｰｷﾝｸﾞ,,伊勢崎駅北口PS第1,イセサキエキキタグチピーエスダイイチ,UTM7800040,372-0056,群馬県伊勢崎市喜多町94-1,,,,,,,,,,,,,,,群馬県,伊勢崎市,喜多町94-1,,,,,,,群馬県伊勢崎市喜多町94-1,,,,,2016/05/01,,41,0,0,41,0,,,0
4731,P1000171,1110224,Dﾊﾟｰｷﾝｸﾞ,,みずほ台PS第1(月極専用),ミズホダイピーエスダイイチ,TOK7800039,354-0018,埼玉県富士見市西みずほ台2-1-8,,,,,,,,,,,,,,,埼玉県,富士見市,西みずほ台2-1-8,,,,,,,埼玉県富士見市西みずほ台2-1-8,,,,,2016/03/01,,0,0,0,0,22,,,22
